#Collected by Hyejin Cho and Hui-Hsien Chou
#id	name	control	treatment1	treatment2
eco:b4500	yfaS	4216.209961	3952.889893	4859.799805
eco:b1235	rssB	3057.469971	5613.384766	5959.779785
eco:b4692	oweE	4023.149902	7929.189941	7956.450195
eco:b0838	gstB	0.000000	0.000000	0.000000
eco:b3580	lyxK	6235.879883	3712.530029	5343.169922
eco:b0872	hcr	4750.504883	2776.044922	3099.754883
eco:b0440	hupB	2780.080078	2442.040039	2306.360107
eco:b3604	lldR	4564.870117	4904.509766	4822.029785
eco:b1438	hicB	2908.770020	2909.080078	3284.479980
eco:b2587	kgtP	3194.159912	5219.459961	7626.129883
eco:b1558	cspF	3983.760010	7329.520020	7974.779785
eco:b1190	dadX	4304.330078	3860.570068	3218.235107
eco:b3239	yhcO	1913.869995	1716.689941	2227.350098
eco:b0768	ybhD	6320.509766	4088.264893	5040.089844
eco:b4036	lamB	3722.169922	5875.910156	6097.399902
eco:b0605	ahpC	3147.360107	4950.859863	2626.100098
eco:b3174	leuU	7377.145020	4934.995117	4137.354980
eco:b4633	xisD	5662.770020	10773.629883	10698.450195
eco:b2161	nupX	3974.469971	3503.399902	5649.790039
eco:b2388	glk	3310.939941	8771.115234	11604.540039
eco:b1311	ycjO	1266.699951	7300.740234	8213.919922
eco:b1594	mlc	0.000000	0.000000	0.000000
eco:b0187	yaeR	1023.729980	4870.459961	4615.390137
eco:b3282	tsaC	0.000000	0.000000	0.000000
eco:b3384	trpS	4839.160156	2765.179932	2158.100098
eco:b2158	yeiH	3089.074951	5562.009766	6143.104980
eco:b3783	rho	3316.360107	9677.709961	5186.060059
eco:b3428	glgP	3494.889893	4385.120117	3536.219971
eco:b0217	yafT	4921.410156	3657.290039	4003.250000
eco:b3850	hemG	9390.799805	5744.930176	4460.540039
eco:b4083	yjcS	3017.510010	2944.179932	3190.520020
eco:b1696	ydiP	2611.604980	3956.645020	4245.854980
eco:b1068	yceM	3019.544922	5255.250000	4290.549805
eco:b3991	thiG	3414.530029	1722.895020	2225.544922
eco:b0769	ybhH	3772.860107	2895.570068	2274.209961
eco:b0837	yliI	2922.080078	4400.750000	5183.625000
eco:b0304	rclA	0.000000	0.000000	0.000000
eco:b2106	rcnA	2401.659912	4196.279785	5458.080078
eco:b2280	nuoJ	4474.160156	13288.254883	13606.014648
eco:b3874	yihN	3983.679932	4718.004883	6311.115234
eco:b3534	bcsQ	2974.540039	2587.879883	3255.120117
eco:b0919	ycbJ	4329.819824	3673.860107	3213.840088
eco:b2726	hypA	7453.430176	6266.250000	3654.050049
eco:b4512	ybdD	716.400024	3217.709961	2873.409912
eco:b1072	flgA	5846.830078	7470.189941	12158.900391
eco:b1570	dicA	5600.709961	705.559998	923.015015
eco:b3046	yqiG	4570.020020	3474.340088	3343.750000
eco:b0339	cynT	3364.449951	3197.540039	3895.750000
eco:b1723	pfkB	5178.265137	2180.250000	2240.090088
eco:b2392	mntH	4235.685059	7037.115234	7895.620117
eco:b1209	lolB	1442.479980	6060.785156	3284.965088
eco:b2616	recN	3461.790039	3102.389893	4439.879883
eco:b4144	yjeI	4710.520020	2948.239990	3558.000000
eco:b3263	yhdU	4884.319824	3602.290039	4632.819824
eco:b0212	gloB	5789.589844	3455.280029	5013.629883
eco:b2339	yfcV	2123.405029	3560.814941	3720.790039
eco:b1196	ycgY	1691.290039	2625.354980	2893.965088
eco:b0009	mog	6897.080078	2215.354980	2838.540039
eco:b3017	ftsP	2546.149902	5475.069824	5456.504883
eco:b3921	yiiR	5154.540039	6303.600098	8083.549805
eco:b4453	ldrD	811.580017	436.119995	489.250000
eco:b0353	mhpT	5085.310059	3725.780029	4853.779785
eco:b4146	epmB	0.000000	0.000000	0.000000
eco:b2846	yqeH	1180.854980	1658.204956	1111.780029
eco:b0126	can	2373.614990	4325.020020	2600.185059
eco:b0406	tgt	5146.555176	5965.939941	3492.719971
eco:b4518	ymdF	8131.919922	2938.169922	3773.540039
eco:b1775	ydjK	4050.544922	3850.320068	5150.274902
eco:b1601	tqsA	3400.245117	5471.205078	6447.390137
eco:b4572	ylbE	4341.015137	5448.504883	7324.294922
eco:b0106	hofC	3096.320068	5783.930176	7050.229980
eco:b1865	nudB	3575.860107	3761.250000	1497.270020
eco:b2233	yfaL	4020.510010	5834.600098	8362.830078
eco:b0803	ybiI	4967.399902	5371.919922	5825.140137
eco:b2752	cysD	1796.219971	6256.004883	6362.115234
eco:b3793	wzyE	3221.399902	6558.379883	7948.200195
eco:b2204	napH	2279.780029	4865.890137	4461.450195
eco:b2995	hybB	3912.705078	5218.884766	5044.220215
eco:b1524	glsB	0.000000	0.000000	0.000000
eco:b0102	zapD	0.000000	0.000000	0.000000
eco:b2036	glf	4182.290039	6927.669922	4583.589844
eco:b1071	flgM	6609.790039	3998.199951	3787.419922
eco:b4650	yibS	4442.294922	5003.484863	5112.319824
eco:b0498	ybbC	3341.949951	3030.310059	3949.820068
eco:b2492	focB	4978.129883	3748.300049	6260.950195
eco:b0393	rdgC	4451.299805	5856.049805	5423.919922
eco:b2859	ygeO	1688.030029	3464.629883	2026.550049
eco:b0497	rhsD	999.489990	1297.645020	1492.900024
eco:b2630	rnlA	4631.220215	8036.149902	8627.389648
eco:b0107	hofB	2471.229980	3956.804932	4772.140137
eco:b3957	argE	2860.449951	5456.629883	8076.674805
eco:b0216	aspV	8621.009766	836.609985	320.299988
eco:b4445	omrB	1987.369995	2408.550049	3143.469971
eco:b4208	cycA	4238.274902	5799.149902	6521.490234
eco:b0385	yaiC	0.000000	0.000000	0.000000
eco:b1970	hiuH	3653.520020	3199.344971	3496.149902
eco:b3059	plsY	6319.229980	5136.180176	6510.479980
eco:b2915	yqfE	1941.199951	4123.689941	4797.740234
eco:b2291	yfbR	4182.865234	2474.439941	2365.810059
eco:b2303	folX	1480.359985	5309.169922	5574.990234
eco:b2390	ypeC	1536.204956	2605.314941	4278.004883
eco:b4357	yjjM	4583.770020	4854.370117	5269.299805
eco:b2342	fadI	4312.685059	4108.325195	4080.550049
eco:b2246	rhmT	6019.875000	5370.240234	6075.404785
eco:b3973	birA	6058.310059	7794.040039	8031.259766
eco:b1195	ymgE	1824.349976	2831.429932	5022.689941
eco:b3953	frwD	7091.700195	4695.455078	4937.649902
eco:b0741	pal	5783.359863	4879.049805	3268.820068
eco:b0713	ybgL	4158.839844	1817.040039	1715.329956
eco:b4631	ykgQ	4873.055176	4099.330078	4749.694824
eco:b2528	iscA	2664.939941	4729.029785	4893.154785
eco:b4396	rob	3365.699951	8257.209961	5814.390137
eco:b0784	moaD	3158.699951	2273.550049	2686.520020
eco:b2548	yphF	3698.379883	3163.709961	3817.419922
eco:b2251	nudI	4103.629883	4284.140137	3763.570068
eco:b1658	purR	2975.149902	4617.479980	3147.120117
eco:b2582	trxC	1476.989990	3606.949951	4481.080078
eco:b0272	yagI	1695.050049	1140.160034	979.950012
eco:b4421	ldrB	0.000000	0.000000	0.000000
eco:b1009	rutD	4072.040039	2987.989990	3332.479980
eco:b3667	uhpC	1952.170044	4923.100098	9677.709961
eco:b3929	rraA	2905.850098	2019.329956	3750.439941
eco:b0344	lacZ	3745.379883	4033.314941	4563.935059
eco:b1040	csgD	2972.629883	5005.660156	7036.500000
eco:b1292	sapC	4903.560059	3046.524902	3253.915039
eco:b3811	xerC	3829.739990	4426.120117	3538.000000
eco:b1751	ydjY	2552.639893	7505.649902	9642.969727
eco:b2027	wzzB	0.000000	0.000000	0.000000
eco:b1361	ydaW	3370.590088	4114.879883	5536.100098
eco:b3459	panM	0.000000	0.000000	0.000000
eco:b1256	ompW	1588.270020	3638.709961	3040.810059
eco:b4351	mrr	6243.509766	7011.129883	9505.059570
eco:b2841	araE	3944.395020	4008.955078	3753.530029
eco:b0731	mngA	4385.540039	3557.754883	4870.365234
eco:b1854	pykA	3654.889893	4356.939941	2124.719971
eco:b1077	flgF	5059.604980	2453.479980	3802.439941
eco:b4157	yjeN	2444.040039	7353.875000	8935.349609
eco:b2094	gatA	4510.689941	20707.609375	5459.000000
eco:b3256	accC	3095.600098	3154.719971	1593.189941
eco:b0347	mhpA	2722.479980	3873.530029	5340.089844
eco:b0294	ecpR	0.000000	0.000000	0.000000
eco:b1618	uidR	2315.419922	9445.299805	9964.379883
eco:b3704	rnpA	2987.689941	17280.449219	4452.540039
eco:b1453	ansP	4785.129883	3940.100098	4877.194824
eco:b1846	yebE	2357.679932	4836.830078	4645.370117
eco:b3354	yheU	5560.330078	6924.899902	6215.430176
eco:b0201	rrsH	7410.509766	19615.580078	129.639999
eco:b3938	metJ	7586.169922	2515.699951	1913.489990
eco:b1727	yniC	4212.180176	6061.044922	5905.979980
eco:b0727	sucB	3807.679932	3213.719971	1980.770020
eco:b0287	yagU	4451.854980	5024.665039	7733.935059
eco:b3055	ygiM	3841.989990	8109.790039	8923.750000
eco:b2674	nrdI	5479.709961	4564.290039	3975.649902
eco:b2119	yehL	4775.209961	4568.770020	5868.080078
eco:b2367	emrY	4725.350098	4476.089844	4738.689941
eco:b2079	baeR	1554.689941	3307.120117	3187.495117
eco:b1789	yeaL	5176.439941	4482.660156	5375.910156
eco:b1129	phoQ	5098.250000	5028.529785	7296.819824
eco:b1219	ychN	1398.000000	5568.479980	7449.044922
eco:b2734	pphB	5578.450195	3745.709961	5258.419922
eco:b2408	yfeN	4161.705078	5586.895020	7062.285156
eco:b1307	pspD	4103.250000	6437.149902	8343.440430
eco:b1020	phoH	2975.530029	1799.619995	1551.979980
eco:b0457	ylaB	5665.995117	4337.020020	5373.455078
eco:b1584	speG	6606.725098	3860.264893	4383.484863
eco:b1478	adhP	3578.639893	8351.959961	9920.650391
eco:b0279	yagM	4961.609863	2897.620117	2844.794922
eco:b2615	nadK	3080.020020	3481.620117	3100.570068
eco:b2247	rhmD	3359.020020	5871.180176	7446.270020
eco:b1869	yecN	743.390015	5114.770020	5226.990234
eco:b2092	gatC	3257.250000	18148.615234	6655.555176
eco:b2302	yfcG	4133.220215	4300.870117	4205.955078
eco:b3706	mnmE	4410.939941	4300.490234	3501.080078
eco:b0431	cyoB	4832.899902	3873.669922	3945.239990
eco:b1971	yedY	5019.080078	4376.685059	5918.839844
eco:b0323	yahI	3098.229980	2176.570068	2377.600098
eco:b3255	accB	2030.729980	8435.889648	2803.060059
eco:b1265	trpL	1589.790039	3113.229980	3573.415039
eco:b2234	nrdA	5623.609863	3479.659912	2754.020020
eco:b3730	glmU	3852.235107	7200.865234	4204.060059
eco:b0211	mltD	4760.319824	2176.699951	1507.989990
eco:b0301	rclC	0.000000	0.000000	0.000000
eco:b4210	ytfF	4977.375000	3692.774902	3742.280029
eco:b1359	ydaU	3069.754883	2887.530029	3070.504883
eco:b0513	ybbY	2281.264893	2305.840088	2945.830078
eco:b1974	yodB	3150.959961	8233.080078	8014.140137
eco:b2479	gcvR	4143.705078	7197.910156	7220.939941
eco:b2832	ygdQ	2075.050049	6191.740234	5338.915039
eco:b1672	ydhW	4733.089844	2825.120117	4162.700195
eco:b1481	bdm	3419.415039	3799.979980	4809.339844
eco:b3323	gspA	3390.885010	5513.919922	7818.174805
eco:b4578	insP	3709.645020	1872.265015	1899.099976
eco:b0310	ykgH	2443.399902	2080.100098	2573.889893
eco:b1807	tsaB	0.000000	0.000000	0.000000
eco:b2055	wcaE	4213.299805	3562.489990	4472.689941
eco:b4209	ytfE	3472.699951	4829.500000	5923.729980
eco:b4509	ylcG	7509.160156	7186.200195	7230.490234
eco:b4200	rpsF	4452.339844	16854.320312	4021.459961
eco:b3202	rpoN	5419.979980	4549.430176	2537.070068
eco:b2432	yfeY	4231.209961	4127.669922	3008.010010
eco:b0389	yaiA	3222.560059	7520.759766	6577.609863
eco:b2141	yohJ	4865.770020	3213.860107	4938.729980
eco:b1206	dauA	0.000000	0.000000	0.000000
eco:b4088	alsB	4752.700195	4518.450195	4977.500000
eco:b2633	yfjQ	3138.544922	1565.734985	2760.074951
eco:b0486	ybaT	2950.979980	7987.750000	7076.410156
eco:b4267	idnD	3543.570068	6148.220215	8071.970215
eco:b4098	phnJ	3186.159912	6268.935059	6453.754883
eco:b1853	yebK	2698.750000	4504.955078	4626.350098
eco:b0300	ykgA	3030.750000	6563.209961	7604.095215
eco:b4589	ylcI	1685.530029	3724.804932	4978.944824
eco:b0122	yacC	4177.439941	3290.469971	3016.040039
eco:b1347	rcbA	0.000000	0.000000	0.000000
eco:b3155	yhbQ	2937.169922	2553.489990	2192.790039
eco:b3216	yhcD	3078.350098	7174.209961	8161.799805
eco:b3943	yijE	1894.660034	7282.020020	7787.750000
eco:b2990	hybG	6647.140137	4082.739990	3293.354980
eco:b0259	insH1	0.000000	0.000000	0.000000
eco:b0732	mngB	4274.819824	4372.279785	5277.029785
eco:b3994	thiC	2281.520020	3055.090088	2572.540039
eco:b2454	eutJ	3126.084961	3287.794922	3516.425049
eco:b2271	yfbL	3709.495117	3920.935059	4290.845215
eco:b4671	ykgR	1221.900024	1346.689941	1411.550049
eco:b0114	aceE	3091.780029	8290.480469	2992.965088
eco:b2983	yghQ	3920.729980	7370.049805	7843.830078
eco:b0156	erpA	1851.310059	5678.720215	7440.810059
eco:b3584	yiaT	5788.080078	6995.109863	5865.069824
eco:b1356	racR	2264.979980	2138.709961	1937.739990
eco:b1389	paaB	6508.029785	6653.259766	9293.969727
eco:b4363	yjjB	5840.665039	4864.180176	3683.020020
eco:b0615	citF	3999.669922	5594.229980	5116.959961
eco:b1259	yciG	3131.979980	663.150024	757.700012
eco:b3380	yhfW	4559.595215	8630.709961	9489.625000
eco:b3253	acuI	0.000000	0.000000	0.000000
eco:b1193	emtA	5346.040039	2866.790039	2414.449951
eco:b4401	arcA	2630.774902	3644.250000	3978.044922
eco:b4094	phnN	3859.385010	2008.910034	1903.579956
eco:b0997	torA	3330.419922	4423.250000	5503.254883
eco:b3422	rtcR	3192.229980	4072.780029	2900.719971
eco:b0489	qmcA	2471.104980	4542.979980	5114.404785
eco:b2475	ypfJ	4833.694824	5950.035156	4883.560059
eco:b4594	ymgJ	2235.679932	2486.199951	1728.229980
eco:b0501	ybbD	6352.750000	1623.344971	2078.764893
eco:b3720	bglH	5096.470215	3651.949951	3522.885010
eco:b2240	glpT	2760.195068	8472.919922	9525.370117
eco:b4662	sgrT	3484.784912	1492.275024	1456.650024
eco:b0248	yafX	5708.759766	8539.160156	10987.589844
eco:b2197	ccmE	1817.925049	5823.435059	7538.560059
eco:b3629	waaS	0.000000	0.000000	0.000000
eco:b3220	yhcG	3998.989990	2819.060059	2677.239990
eco:b4254	argI	3061.310059	3657.870117	2879.639893
eco:b3120	yhaB	1952.660034	2559.250000	2822.530029
eco:b0680	glnS	3657.370117	5310.424805	3684.770020
eco:b3470	tusA	0.000000	0.000000	0.000000
eco:b3077	ebgC	7083.149902	2493.510010	1990.229980
eco:b0474	adk	3057.600098	6525.680176	4068.399902
eco:b2447	yffP	5680.104980	6626.464844	5744.365234
eco:b0121	speE	3455.850098	8814.879883	2842.530029
eco:b1088	yceD	3533.399902	12518.485352	2983.760010
eco:b1912	pgsA	6571.939941	6232.020020	7679.890137
eco:b0254	perR	4388.060059	8160.799805	10685.469727
eco:b1716	rplT	695.299988	2847.120117	1048.260010
eco:b1449	curA	0.000000	0.000000	0.000000
eco:b2186	yejK	2707.310059	5241.629883	4256.450195
eco:b2215	ompC	2456.520020	4496.490234	2131.235107
eco:b0335	prpE	3994.229980	3989.310059	5465.689941
eco:b2532	trmJ	4525.145020	4927.265137	2034.275024
eco:b2471	yffB	2371.915039	4974.535156	7751.234863
eco:b2560	pgpC	0.000000	0.000000	0.000000
eco:b4076	nrfG	7730.709961	2662.500000	3722.949951
eco:b0991	ymcE	4630.459961	2160.600098	2022.760010
eco:b4444	omrA	1304.550049	2120.780029	1981.109985
eco:b0840	deoR	4319.149902	5816.029785	7096.109863
eco:b1346	ydaQ	2171.590088	2887.459961	2641.919922
eco:b1758	ynjF	2530.560059	5823.129883	7778.609863
eco:b3912	cpxR	5724.919922	6105.529785	3115.189941
eco:b3864	spf	2014.050049	4440.100098	2472.010010
eco:b4689	rzoQ	9292.500000	910.700012	1250.790039
eco:b0524	lpxH	3422.070068	4826.990234	4366.279785
eco:b2035	wbbH	0.000000	0.000000	0.000000
eco:b0162	cdaR	3981.475098	3738.705078	3824.824951
eco:b0004	thrC	4014.729980	2610.360107	1956.189941
eco:b2131	osmF	2900.719971	2089.929932	2504.760010
eco:b3693	dgoK	4919.479980	2458.179932	1784.790039
eco:b0008	talB	5078.134766	5497.415039	2795.485107
eco:b0093	ftsQ	4771.879883	2396.790039	2952.429932
eco:b3972	murB	6682.850098	8362.080078	7196.290039
eco:b2374	frc	4846.209961	2270.034912	3023.504883
eco:b1643	ydhI	4798.620117	6077.810059	5716.560059
eco:b3094	exuR	5127.479980	5623.705078	5823.450195
eco:b0160	dgt	3631.949951	4312.899902	5618.310059
eco:b1574	dicF	8905.480469	4947.569824	5699.339844
eco:b4378	yjjV	3215.864990	2310.360107	2488.449951
eco:b0186	ldcC	3822.449951	5530.830078	6514.229980
eco:b0951	pqiB	4651.290039	2576.360107	2560.020020
eco:b2714	ascG	6065.930176	3882.905029	4792.569824
eco:b3185	rpmA	4408.430176	4357.680176	1258.310059
eco:b1396	paaI	5666.020020	1916.619995	2230.669922
eco:b3715	yieH	2678.409912	5404.899902	4931.609863
eco:b2622	intA	1863.650024	6830.660156	7616.379883
eco:b0331	prpB	2606.830078	3094.709961	3911.469971
eco:b1694	ydiF	5727.299805	3753.794922	5492.540039
eco:b3795	yifK	6515.470215	5098.904785	5523.765137
eco:b3235	degS	4172.995117	3400.469971	2341.939941
eco:b1999	yeeP	2862.179932	3184.159912	4722.879883
eco:b3969	gltT	0.000000	0.000000	0.000000
eco:b4286	yjhV	4102.424805	3242.534912	5296.259766
eco:b2880	ygfM	3945.104980	9799.384766	3727.159912
eco:b0903	pflB	3167.820068	7459.750000	2238.219971
eco:b1167	ymgC	3282.770020	2506.189941	1703.974976
eco:b2558	mltF	2902.209961	3210.875000	3466.074951
eco:b1303	pspF	2138.385010	4277.930176	3996.435059
eco:b3609	secB	5581.689941	2918.570068	1436.229980
eco:b0739	tolA	4191.799805	1765.790039	1248.050049
eco:b2815	metW	0.000000	0.000000	0.000000
eco:b0936	ssuA	1129.385010	3992.629883	5545.375000
eco:b3347	fkpA	3746.050049	2676.969971	2184.770020
eco:b1254	yciB	4152.700195	7623.200195	5198.979980
eco:b1335	ogt	5074.149902	4784.904785	4056.500000
eco:b3022	mqsR	9086.400391	4666.310059	4956.964844
eco:b0808	ybiO	5587.629883	3693.320068	3993.500000
eco:b3666	uhpT	4829.919922	4992.580078	4091.665039
eco:b1538	dcp	4087.014893	4106.875000	4137.580078
eco:b2288	nuoA	5368.020020	8556.980469	4725.169922
eco:b3547	yhjX	3943.745117	7559.975098	9867.714844
eco:b4264	idnR	9126.929688	5194.470215	5667.339844
eco:b0692	potE	3379.929932	3910.780029	7083.370117
eco:b4463	ygcU	4180.350098	2695.580078	3102.909912
eco:b0556	rzpD	3637.290039	2851.159912	3128.550049
eco:b2543	yphA	4494.504883	4470.540039	5327.515137
eco:b3064	tsaD	0.000000	0.000000	0.000000
eco:b4072	nrfC	4909.939941	2890.949951	1701.650024
eco:b2047	wcaJ	3003.389893	5055.580078	5332.390137
eco:b0109	nadC	4338.875000	5532.325195	6060.665039
eco:b2537	hcaR	5354.790039	6199.600098	6939.600098
eco:b2091	gatD	4252.884766	16772.660156	4322.720215
eco:b3616	tdh	2783.449951	8926.990234	8530.509766
eco:b2108	yehA	2240.969971	7926.850098	8565.080078
eco:b1527	yneK	4144.904785	5258.725098	6658.399902
eco:b0798	ybiA	2237.699951	5223.870117	5967.145020
eco:b1955	yedP	2230.235107	4203.720215	4533.524902
eco:b0153	fhuB	4236.459961	4290.759766	4294.830078
eco:b1466	narW	3233.290039	2734.635010	2514.985107
eco:b0258	ykfC	3990.909912	3949.209961	5720.859863
eco:b0384	psiF	4167.740234	4680.410156	7050.620117
eco:b2345	yfdF	8374.065430	3372.830078	2955.159912
eco:b1266	yciV	4146.419922	3532.179932	3178.379883
eco:b1609	rstB	4207.875000	4021.830078	4625.729980
eco:b0695	kdpD	2728.760010	3915.489990	4776.370117
eco:b2863	ygeQ	3867.389893	4097.500000	6251.810059
eco:b1973	zinT	3954.840088	3565.620117	4647.950195
eco:b4086	alsC	5027.720215	6310.729980	7469.509766
eco:b4414	tff	5300.899902	2848.995117	1366.849976
eco:b0934	ssuC	5462.609863	2975.239990	3663.629883
eco:b2589	rrlG	0.000000	0.000000	0.000000
eco:b0597	entH	6361.169922	5252.209961	5245.665039
eco:b2652	ileY	1224.969971	3750.600098	4132.140137
eco:b2004	cbeA	0.000000	0.000000	0.000000
eco:b2476	purC	6159.120117	8947.089844	9150.400391
eco:b3573	ysaA	8415.190430	4499.575195	3309.985107
eco:b2034	wbbI	3733.905029	3181.995117	3484.479980
eco:b0549	ybcO	2006.800049	9490.644531	7873.464844
eco:b2396	alaX	5123.529785	571.710022	763.270020
eco:b3150	yraP	4325.229980	2724.719971	2954.939941
eco:b0444	queC	4383.544922	5741.595215	7052.865234
eco:b1760	ynjH	1957.410034	5407.529785	5853.049805
eco:b3306	rpsH	2769.475098	16668.210938	2917.850098
eco:b1556	essQ	3968.530029	3925.969971	4249.529785
eco:b3899	frvB	2658.840088	4062.745117	4575.964844
eco:b0147	ligT	2968.959961	3375.794922	3517.044922
eco:b4454	rdlD	811.580017	436.119995	338.989990
eco:b4664	ibsD	2595.350098	425.269989	863.770020
eco:b4532	hicA	7666.060059	4467.810059	5725.850098
eco:b0288	ykgJ	6083.890137	5633.620117	8131.250000
eco:b2444	yffM	3665.905029	6417.259766	7102.174805
eco:b2764	cysJ	4008.864990	2285.544922	2006.364990
eco:b0865	ybjP	1805.574951	10122.514648	11035.315430
eco:b0796	ybiH	1501.010010	4291.490234	4482.899902
eco:b1599	mdtI	2993.995117	2845.185059	3590.040039
eco:b0555	rrrD	0.000000	0.000000	0.000000
eco:b3438	gntR	3647.014893	5258.734863	6045.410156
eco:b2486	hyfF	3600.840088	4576.879883	5999.080078
eco:b0148	hrpB	4012.175049	3376.479980	2929.389893
eco:b0740	tolB	4376.560059	7920.490234	4872.330078
eco:b4293	fecI	6621.689941	2833.500000	2062.020020
eco:b0059	rapA	4789.285156	4396.870117	2651.350098
eco:b0619	citA	0.000000	0.000000	0.000000
eco:b2506	yfgI	3645.679932	3425.280029	3704.560059
eco:b0045	yaaU	3833.385010	6827.444824	7132.609863
eco:b4336	yjiN	4483.250000	3194.889893	2759.939941
eco:b1610	tus	2592.570068	7420.270020	7787.229980
eco:b3589	yiaY	4060.040039	5375.009766	5832.930176
eco:b0375	yaiV	3949.340088	3798.034912	2495.725098
eco:b1626	ydgK	3693.770020	5755.870117	6364.379883
eco:b1826	mgrB	4499.674805	5901.674805	7547.589844
eco:b3131	agaR	3398.834961	4374.009766	4068.510010
eco:b3816	corA	2084.290039	6504.649902	4151.040039
eco:b1098	tmk	6981.990234	4775.990234	3794.679932
eco:b3593	rhsA	8383.884766	2739.375000	3123.235107
eco:b3960	argH	2285.330078	3883.899902	4284.140137
eco:b0129	yadI	3059.675049	3236.229980	4003.685059
eco:b3886	yihY	4838.569824	3638.209961	3811.560059
eco:b0314	betT	1918.479980	6478.319824	6803.870117
eco:b4197	ulaE	4747.770020	1396.599976	1529.520020
eco:b1270	btuR	4680.029785	3671.800049	3748.219971
eco:b2260	menE	1565.760010	5351.365234	6523.290039
eco:b3189	murA	3790.370117	3899.790039	4055.969971
eco:b0553	nmpC	5446.560059	3617.719971	3095.110107
eco:b4422	rdlB	0.000000	0.000000	0.000000
eco:b1197	treA	4417.750000	5147.609863	6195.560059
eco:b2660	lhgO	4129.620117	2470.159912	2098.060059
eco:b0952	pqiC	0.000000	0.000000	0.000000
eco:b1155	tfaP	2119.020020	2027.530029	1784.199951
eco:b3967	murI	4355.709961	2535.905029	2144.955078
eco:b3821	pldA	6328.060059	5231.399902	4464.944824
eco:b2670	alaE	0.000000	0.000000	0.000000
eco:b4031	xylE	2138.709961	4592.350098	4643.660156
eco:b3668	uhpB	2453.895020	2894.635010	3051.445068
eco:b0697	kdpB	4981.089844	4674.709961	4825.209961
eco:b2203	napB	3971.225098	3234.245117	2929.854980
eco:b2780	pyrG	4830.984863	5999.109863	2267.780029
eco:b4547	ypfN	5774.524902	6252.455078	7761.310059
eco:b3519	treF	4086.245117	2909.145020	3826.000000
eco:b0539	exoD	6699.424805	8967.205078	9575.025391
eco:b4182	yjfJ	1644.540039	1713.910034	1869.310059
eco:b0550	rusA	245.429993	6486.799805	7230.490234
eco:b2362	yfdS	3386.905029	7061.234863	7504.009766
eco:b0061	araD	3442.304932	2171.399902	2425.205078
